"FilePath","ProcessingTime","OriginalSize_MB","SizeAfterReencoding_MB","SpaceSaved_MB","PercentageReduction","OriginalCodec"
"E:\Fotos\SETEMBRO 2023\IMG_0795.mp4","30.93","879.55","91.95","-787.60","-89.55","h264"
"E:\Fotos\SETEMBRO 2023\IMG_0802.mp4","27.46","694.65","73.29","-621.36","-89.45","h264"
"E:\Fotos\SETEMBRO 2023\IMG_0838.mp4","35.45","854.87","91.53","-763.33","-89.29","h264"
"E:\Fotos\SETEMBRO 2023\IMG_3153.mp4","10.09","248.92","25.71","-223.21","-89.67","h264"
"E:\Fotos\SETEMBRO 2023\IMG_3302.mp4","6.99","160.70","18.41","-142.29","-88.55","h264"
"E:\Fotos\SETEMBRO 2023\IMG_3487.mp4","3.15","111.06","16.76","-94.30","-84.91","h264"
"E:\Fotos\SETEMBRO 2023\IMG_4040.mp4","7.29","156.31","16.19","-140.13","-89.65","h264"
"E:\Fotos\SETEMBRO 2023\IMG_4041.mp4","4.48","101.25","10.30","-90.95","-89.83","h264"
"E:\Fotos\SETEMBRO 2023\IMG_4078.mp4","3.64","127.82","19.61","-108.20","-84.66","h264"
"E:\Fotos\SETEMBRO 2023\IMG_4458.mp4","5.56","165.00","17.21","-147.78","-89.57","h264"
"E:\Fotos\SETEMBRO 2023\IMG_4930.mp4","5.99","134.07","13.83","-120.24","-89.68","h264"
"E:\Fotos\SETEMBRO 2023\IMG_6526.mp4","11.90","343.21","35.51","-307.70","-89.65","h264"
"E:\Fotos\SETEMBRO 2023\IMG_6552.mp4","10.63","310.55","31.65","-278.90","-89.81","h264"
"E:\Fotos\SETEMBRO 2023\IMG_8012.mp4","5.07","118.53","12.57","-105.96","-89.39","h264"
"E:\Fotos\SETEMBRO 2023\IMG_8015.mp4","13.39","331.51","36.93","-294.58","-88.86","h264"
"E:\Fotos\SETEMBRO 2023\IMG_8515.mp4","3.67","100.23","10.28","-89.95","-89.74","h264"
"E:\Fotos\SETEMBRO 2023\IMG_8668.mp4","4.20","103.89","10.81","-93.08","-89.60","h264"
"E:\Fotos\SETEMBRO 2023\IMG_8669.mp4","10.92","265.66","29.07","-236.59","-89.06","h264"
"E:\Fotos\SETEMBRO 2023\IMG_8671.mp4","19.77","500.96","53.56","-447.40","-89.31","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9481.mp4","3.69","126.21","15.90","-110.31","-87.40","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9499.mp4","13.84","367.77","41.64","-326.13","-88.68","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9748.mp4","26.76","740.92","78.06","-662.85","-89.46","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9749.mp4","18.16","562.90","59.49","-503.41","-89.43","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9750.mp4","27.29","800.33","85.38","-714.95","-89.33","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9751.mp4","23.20","727.99","77.34","-650.64","-89.38","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9752.mp4","26.80","805.55","85.54","-720.02","-89.38","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9853 1.mp4","9.22","276.74","28.61","-248.13","-89.66","h264"
"E:\Fotos\SETEMBRO 2023\IMG_9853.mp4","16.07","495.35","51.70","-443.65","-89.56","h264"
"E:\Fotos\SETEMBRO 2023\RPReplay_Final1658744214.mp4","7.00","181.74","16.68","-165.06","-90.82","h264"
"E:\Fotos\SETEMBRO 2023\RPReplay_Final1674051010.mp4","5.04","151.45","17.86","-133.59","-88.20","h264"
"E:\Fotos\SETEMBRO 2023\RPReplay_Final1678151988.mp4","3.50","106.49","11.24","-95.25","-89.44","h264"
"E:\Fotos\SETEMBRO 2023\ScreenRecording_09-20-2023 18-58-25_1.mp4","7.26","229.65","23.59","-206.06","-89.73","h264"
"E:\Fotos\Skydive - 15.11.07\15.11.07 - TD Bernardo Ascensao.mp4","6.03","692.96","68.87","-624.09","-90.06","mpeg2video"
"E:\Fotos\TELEMOVEL\Untitled.mp4","1.29","100.55","4.81","-95.74","-95.22","h264"
"E:\Fotos\TELEMOVEL\Ambiente Trabalho Agosto 2018\Camera\20180203_115550.mp4","8.95","315.23","53.66","-261.58","-82.98","h264"
"E:\Fotos\TELEMOVEL\Ambiente Trabalho Agosto 2018\DCIM\Game media\Clash Royale\Clash Royale_2017-12-02-03-53-25.mp4","10.45","274.22","79.91","-194.31","-70.86","h264"
"E:\Fotos\TELEMOVEL\Ambiente Trabalho Agosto 2018\DCIM\Game media\Clash Royale\Clash Royale_2017-12-02-04-23-13.mp4","10.56","272.86","81.45","-191.41","-70.15","h264"
"E:\Fotos\TELEMOVEL\Ambiente Trabalho Agosto 2018\DCIM\Game media\Clash Royale\Clash Royale_2018-01-08-14-28-06.mp4","9.73","255.51","72.68","-182.83","-71.56","h264"
"E:\Fotos\TELEMOVEL\Edge 6 Backup\20160821_022700.mp4","2.41","112.91","16.23","-96.68","-85.63","h264"
