"FilePath","ProcessingTime","OriginalSize_MB","SizeAfterReencoding_MB","SpaceSaved_MB","PercentageReduction","OriginalCodec"
"E:\Fotos\temp big gym\GOPR1104.mp4","19.54","618.81","49.17","-569.64","-92.05","h264"
"E:\Fotos\temp big gym\GOPR1105.mp4","20.60","660.79","52.25","-608.54","-92.09","h264"
"E:\Fotos\temp big gym 2\GOPR1095.mp4","14.40","474.70","36.73","-437.97","-92.26","h264"
"E:\Fotos\temp big gym 2\GOPR1102.mp4","13.45","432.22","32.47","-399.75","-92.49","h264"
"E:\Fotos\temp big gym 2\GOPR1103.mp4","12.67","397.73","30.88","-366.85","-92.24","h264"
"E:\Fotos\temp big gym 2\GOPR1104.mp4","19.05","618.81","49.17","-569.64","-92.05","h264"
"E:\Fotos\temp big gym 2\GOPR1105.mp4","20.19","660.79","52.25","-608.54","-92.09","h264"
"E:\Fotos\temp big gym 2\GOPR1106.mp4","6.80","229.38","17.81","-211.57","-92.24","h264"
"E:\Fotos\temp big gym 2\GOPR1107.mp4","9.70","338.34","26.58","-311.77","-92.14","h264"
"E:\Fotos\temp big gym 2\GOPR1124.mp4","7.88","249.02","19.56","-229.46","-92.15","h264"
"E:\Fotos\temp big gym 2\GOPR1125.mp4","14.94","493.56","38.61","-454.95","-92.18","h264"
"E:\Fotos\temp big gym 2\GOPR1126.mp4","16.73","597.45","46.60","-550.85","-92.20","h264"
"E:\Fotos\temp big gym 2\GOPR1148.mp4","15.25","545.59","43.46","-502.13","-92.03","h264"
"E:\Fotos\temp big gym 2\GOPR1149.mp4","7.80","271.16","21.08","-250.08","-92.23","h264"
"E:\Fotos\temp big gym 2\GOPR1155.mp4","10.52","361.32","28.59","-332.74","-92.09","h264"
"E:\Fotos\temp big gym 2\GOPR1156.mp4","16.66","586.97","45.52","-541.45","-92.25","h264"
"E:\Fotos\temp big gym 2\GOPR1169.mp4","8.07","266.84","20.17","-246.67","-92.44","h264"
"E:\Fotos\temp go pro 3\GOPR1460.mp4","5.18","217.32","8.10","-209.21","-96.27","h264"
"E:\Fotos\temp go pro 3\GOPR1461.mp4","7.33","310.93","12.59","-298.34","-95.95","h264"
"E:\Fotos\temp go pro 3\GOPR1464.mp4","7.98","348.16","13.54","-334.62","-96.11","h264"
"E:\Fotos\temp go pro 3\GOPR1465.mp4","5.82","246.67","9.65","-237.02","-96.09","h264"
"E:\Fotos\temp go pro 3\GOPR1466.mp4","8.45","368.46","14.78","-353.68","-95.99","h264"
"E:\Fotos\temp go pro 4\GOPR1471.mp4","21.01","753.96","60.15","-693.81","-92.02","h264"
"E:\Fotos\temp go pro 4\GOPR1472.mp4","7.26","252.20","19.94","-232.26","-92.09","h264"
"E:\Fotos\temp praia lourenco\GOPR1179.mp4","5.03","201.18","15.23","-185.95","-92.43","h264"
"E:\Fotos\temp praia lourenco\GOPR1190.mp4","6.74","216.21","16.68","-199.52","-92.28","h264"
"E:\Fotos\temp praia lourenco\GOPR1193.mp4","5.99","207.61","16.02","-191.59","-92.28","h264"
"E:\Fotos\temp praia lourenco\GOPR1197.mp4","19.59","737.85","57.74","-680.11","-92.17","h264"
"E:\Fotos\temp praia lourenco\GOPR1267.mp4","20.39","843.81","65.44","-778.37","-92.24","h264"
"E:\Fotos\temp praia lourenco\GOPR1451.mp4","9.95","371.52","28.76","-342.77","-92.26","h264"
"E:\Fotos\temp praia lourenco\GOPR1453.mp4","8.94","282.97","21.98","-260.99","-92.23","h264"
